0.01;-0;-0.098;-9.753;989.651
0.02;-0;-0.098;-9.753;989.651
0.03;-0;-0.098;-9.753;989.651
0.04;-0;-0.098;-9.753;989.651
0.05;-0;-0.098;-9.753;989.651
0.06;-0;-0.098;-9.753;989.651
0.07;-0;-0.098;-9.753;989.651
0.08;-0;-0.098;-9.753;989.651
0.09;-0;-0.098;-9.753;989.651
0.1;-0;-0.098;-9.753;989.651
0.11;-0;-0.098;-9.753;989.651
0.12;-0;-0.098;-9.753;989.651
0.13;-0;-0.098;-9.753;989.651
0.14;-0;-0.098;-9.753;989.651
0.15;-0;-0.098;-9.753;989.651
0.16;-0;-0.098;-9.753;989.651
0.17;-0;-0.098;-9.753;989.651
0.18;-0;-0.096;-9.597;989.651
0.19;-0;-0.096;-9.627;989.651
0.2;-0;-0.09;-9.01;989.651
0.21;-0;-0.08;-7.976;989.651
0.22;-0;-0.067;-6.722;989.651
0.23;-0;-0.05;-4.98;989.651
0.24;-0;-0.028;-2.82;989.651
0.25;-0;-0.002;-0.245;989.651
0.26;0;0.028;2.762;989.651
0.27;0.001;0.09;6.208;989.651
0.28;0.002;0.191;10.093;989.65
0.29;0.005;0.335;14.4;989.65
0.3;0.009;0.525;19.08;989.65
0.31;0.016;0.766;24.063;989.649
0.32;0.025;1.059;29.273;989.649
0.33;0.037;1.405;34.632;989.648
0.34;0.053;1.805;40.056;989.646
0.35;0.073;2.26;45.463;989.645
0.36;0.098;2.768;50.772;989.643
0.37;0.129;3.327;55.905;989.641
0.38;0.165;3.934;60.786;989.638
0.39;0.208;4.588;65.348;989.635
0.4;0.257;5.283;69.532;989.631
0.41;0.314;6.016;73.288;989.626
0.42;0.378;6.782;76.576;989.621
0.43;0.449;7.575;79.369;989.616
0.44;0.529;8.392;81.669;989.61
0.45;0.617;9.227;83.498;989.603
0.46;0.714;10.076;84.886;989.595
0.47;0.819;10.934;85.868;989.587
0.48;0.933;11.799;86.486;989.579
0.49;1.055;12.667;86.786;989.569
0.5;1.186;13.535;86.812;989.559
0.51;1.326;14.401;86.615;989.548
0.52;1.474;15.263;86.243;989.537
0.53;1.631;16.121;85.744;989.525
0.54;1.796;16.972;85.166;989.512
0.55;1.97;17.818;84.553;989.498
0.56;2.153;18.657;83.947;989.484
0.57;2.343;19.491;83.385;989.47
0.58;2.542;20.32;82.9;989.454
0.59;2.75;21.145;82.513;989.438
0.6;2.965;21.967;82.226;989.422
